  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2540   0.01274   0.00566  -0.1074   0.8618   0.3065
   0.000   0.4937   0.01005   0.00448  -0.1071   0.7757   1.0000
   2.000   0.7038   0.01097   0.00451  -0.1032   0.6752   1.0000
   4.000   0.9126   0.01256   0.00569  -0.0998   0.5863   1.0000
   6.000   1.1122   0.01444   0.00743  -0.0950   0.4940   1.0000
   8.000   1.2798   0.01670   0.00982  -0.0849   0.3636   1.0000
  10.000   1.3275   0.02555   0.01752  -0.0598   0.1188   1.0000
  12.000   1.3641   0.03916   0.03125  -0.0433   0.0746   1.0000
